Description,Body,Cylinders,Description*,Drivetrain,Engine Displacement,Fuel System,Fuel Type,Generation,Make,Model,Sub-model,Transmission,Trim
GTV 2003-2005,Coupe,,GTV,,,,Gas,,Alfa-Romeo,GTV,"GTV 2.0L JTS L4 Front-Wheel Drive (FWD) , GTV 2.0L TS L4 Front-Wheel Drive (FWD) , GTV 3.2L V6 Front-Wheel Drive (FWD)",,
F430 4.3L V8 Rear-Wheel Drive (RWD),Coupe,V8,F430 4.3L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.3L,Multipoint Injection,Gas,F430 2004-2009,Ferrari,F430,,Automatic,
GTV 2.0L JTS L4 Front-Wheel Drive (FWD),Coupe,L4,GTV 2.0L L4 Front-Wheel Drive (FWD),Front-Wheel Drive (FWD),2.0L,Direct Injection,Gas,GTV 2003-2005,Alfa-Romeo,GTV,,Manual,
GTV 2.0L TS L4 Front-Wheel Drive (FWD),Coupe,L4,GTV 2.0L L4 Front-Wheel Drive (FWD),Front-Wheel Drive (FWD),2.0L,Multipoint Injection,Gas,GTV 2003-2005,Alfa-Romeo,GTV,,Manual,
F430 Spider 4.3L V8 Rear-Wheel Drive (RWD),Convertible,V8,F430 Spider 4.3L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.3L,Multipoint Injection,Gas,F430 Spider 2005-2009,Ferrari,F430,,Automatic,Spider
GTV 3.2L V6 Front-Wheel Drive (FWD),Coupe,V6,GTV 3.2L V6 Front-Wheel Drive (FWD),Front-Wheel Drive (FWD),3.2L,Multipoint Injection,Gas,GTV 2003-2005,Alfa-Romeo,GTV,,Manual,
F430 Spider 4.3L V8 Rear-Wheel Drive (RWD),Convertible,V8,F430 Spider 4.3L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.3L,Multipoint Injection,Gas,F430 Spider 2005-2009,Ferrari,F430,,Manual,Spider
360 Challenge Stradale 3.6L V8 Rear-Wheel Drive (RWD),Coupe,V8,360 Challenge Stradale 3.6L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.6L,Multipoint Injection,Gas,360 Challenge Stradale 2003-2005,Ferrari,360,,Automatic,Challenge Stradale
360 Modena 4.0L V8 Rear-Wheel Drive (RWD),Coupe,V8,360 Modena 4.0L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.0L,Multipoint Injection,Gas,360 Modena 1999-2004,Ferrari,360,,Automatic,Modena
360 Spider 4.0L V8 Rear-Wheel Drive (RWD),Convertible,V8,360 Spider 4.0L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.0L,Multipoint Injection,Gas,360 Spider 2000-2005,Ferrari,360,,Automatic,Spider
360 Modena 4.0L V8 Rear-Wheel Drive (RWD),Coupe,V8,360 Modena 4.0L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.0L,Multipoint Injection,Gas,360 Modena 1999-2004,Ferrari,360,,Manual,Modena
360 Spider 4.0L V8 Rear-Wheel Drive (RWD),Convertible,V8,360 Spider 4.0L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.0L,Multipoint Injection,Gas,360 Spider 2000-2005,Ferrari,360,,Manual,Spider
California T 3.8L V8 Rear-Wheel Drive (RWD),Convertible,V8,California T 3.8L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.8L,Turbocharged Direct Injection,Gas,California T 2012-2014,Ferrari,California,,Automatic,T
California F149 2012-2017,Convertible,,California F149,,,,Gas,,Ferrari,California F149,"California F149 4.3L V8 Rear-Wheel Drive (RWD) , California F149 4.3L V8 Rear-Wheel Drive (RWD)",,
California F149 4.3L V8 Rear-Wheel Drive (RWD),Convertible,V8,California F149 4.3L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.3L,Direct Injection,Gas,California F149 2012-2017,Ferrari,California F149,,Automatic,
California F149 4.8L V8 Rear-Wheel Drive (RWD),Convertible,V8,California F149 4.8L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.8L,Direct Injection,Gas,California F149 2008-2011,Ferrari,California F149,,Manual,
California F149 4.8L V8 Rear-Wheel Drive (RWD),Convertible,V8,California F149 4.8L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.8L,Direct Injection,Gas,California F149 2008-2011,Ferrari,California F149,,Automatic,
